CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL3219907	1726302	CHEMBL3219907	1726302		27	586.52	8.14	94.13	2	CCN1CCN(CC1)c2nc(Nc3ccc(Nc4ccnc5cc(Cl)ccc45)cc3)nc(Nc6cccc(Cl)c6)n2	14545671	IC50	=	.00211	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	1330162	CHEMBL3223790	F	Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 after 72 hrs by SYBR Green-1 dye-based fluorescence assay	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81834	CHEMBL3217722		MedChemComm	2012	3	1	71			
CHEMBL3219930	1726325	CHEMBL3219930	1726325		50	546.07	5.78	94.57	2	CCN1CCN(CC1)c2nc(Nc3ccc(Nc4ccnc5cc(Cl)ccc45)cc3)nc(n2)N6CCOCC6	14545694	IC50	=	.00216	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	1330162	CHEMBL3223790	F	Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 after 72 hrs by SYBR Green-1 dye-based fluorescence assay	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81834	CHEMBL3217722		MedChemComm	2012	3	1	71			
CHEMBL3219932	1726327	CHEMBL3219932	1726327		52	576.09	5.01	112.59	3	Clc1ccc2c(Nc3ccc(Nc4nc(NCCCN5CCOCC5)nc(n4)N6CCOCC6)cc3)ccnc2c1	14545696	IC50	=	.00276	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	1330162	CHEMBL3223790	F	Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 after 72 hrs by SYBR Green-1 dye-based fluorescence assay	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81834	CHEMBL3217722		MedChemComm	2012	3	1	71			
CHEMBL3219917	1726312	CHEMBL3219917	1726312		37	612.12	6.69	121.38	3	COc1ccc(Nc2nc(NCCCN3CCOCC3)nc(Nc4ccc(Nc5ccnc6cc(Cl)ccc56)cc4)n2)cc1	14545681	IC50	=	.00381	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	1330162	CHEMBL3223790	F	Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 after 72 hrs by SYBR Green-1 dye-based fluorescence assay	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81834	CHEMBL3217722		MedChemComm	2012	3	1	71			
CHEMBL3219923	1726318	CHEMBL3219923	1726318		43	608.14	7.38	103.36	2	Clc1ccc2c(Nc3ccc(Nc4nc(NCCN5CCOCC5)nc(n4)N6CCCc7ccccc67)cc3)ccnc2c1	14545687	IC50	=	.0174	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	1330162	CHEMBL3223790	F	Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 after 72 hrs by SYBR Green-1 dye-based fluorescence assay	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81834	CHEMBL3217722		MedChemComm	2012	3	1	71			
CHEMBL3219897	1726291	CHEMBL3219897	1726291		16	556.04	7.33	94.13	2	CN1CCN(CC1)c2nc(Nc3ccc(Nc4ccnc5cc(Cl)ccc45)cc3)nc(Nc6cccc(F)c6)n2	14545660	IC50	=	.0228	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	1330162	CHEMBL3223790	F	Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 after 72 hrs by SYBR Green-1 dye-based fluorescence assay	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81834	CHEMBL3217722		MedChemComm	2012	3	1	71			
CHEMBL58510	90635	CHEMBL76	6579	CHLOROQUINE DIPHOSPHATE	CQ	319.87	4.35	28.16	0	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.OP(=O)(O)O.OP(=O)(O)O	15183780	IC50	=	.034	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	1465107	CHEMBL3405439	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 infected in human erythrocyte assessed as parasite viability after 48 hrs by [3H]hypoxanthine incorporation based liquid scintillation counting analysis	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			91160	CHEMBL3400128	25766631	Bioorg. Med. Chem.	2015	23	8	1817			
CHEMBL567597	575613	CHEMBL567597	575613	ARTEMISININ	ART	282.33	2	53.99	0	C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4	15183781	IC50	=	.045	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	1465107	CHEMBL3405439	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 infected in human erythrocyte assessed as parasite viability after 48 hrs by [3H]hypoxanthine incorporation based liquid scintillation counting analysis	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			91160	CHEMBL3400128	25766631	Bioorg. Med. Chem.	2015	23	8	1817			
CHEMBL3219927	1726322	CHEMBL3219927	1726322		47	608.14	6.92	103.36	2	Clc1ccc2c(Nc3ccc(Nc4nc(NCCN5CCOCC5)nc(n4)N6CCc7ccccc7C6)cc3)ccnc2c1	14545691	IC50	=	.0452	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	1330162	CHEMBL3223790	F	Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 after 72 hrs by SYBR Green-1 dye-based fluorescence assay	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81834	CHEMBL3217722		MedChemComm	2012	3	1	71			
CHEMBL2088548	1366222	CHEMBL2088548	1366222		13	877.07	5.13	184.64	3	C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)NCCCCCCCCNC(=O)CCC(=O)O[C@@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)O[C@@H]7O[C@@]8(C)CC[C@@H]1[C@@]27OO8	13952424	IC50	=	.3	nM	9.52			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1296215	CHEMBL3132228	F	Antimalarial activity against Plasmodium falciparum 3D7 assessed as growth inhibition after 3 days by HRP2 based ELISA	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			77210	CHEMBL3124935	24561670	Eur. J. Med. Chem.	2014	75		403			
