MOLREGNO	CHEMBLID	SOURCE_ID	COMPOUND_NAME	MOLWEIGHT	ALOGP	SERIES_NAME	A1_ASSAY_ID	A1_CHEMBL_ID	A1_STANDARD_TYPE	A1_RELATION	A1_STANDARD_VALUE	A1_STANDARD_UNITS	A2_ASSAY_ID	A2_CHEMBL_ID	A2_STANDARD_TYPE	A2_RELATION	A2_STANDARD_VALUE	A2_STANDARD_UNITS	CANONICAL_SMILES
1386401	CHEMBL2113992	OSM-S-100	2-((1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrole-3-carbonyl)oxy)propanoic acid	305.3	3.02	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							CC(OC(=O)c1cc(C)n(c1C)c2ccc(F)cc2)C(=O)O
1386402	CHEMBL2113993	OSM-S-101	2-(1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl)oxazole-4-carboxylic acid	300.28	3.08	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							Cc1cc(c(C)n1c2ccc(F)cc2)c3occ(n3)C(=O)O
1386403	CHEMBL2113994	OSM-S-102	4-(1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl)-N-methyl-4-oxobutanamide	302.34	2.37	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							CNC(=O)CCC(=O)c1cc(C)n(c1C)c2ccc(F)cc2
1386404	CHEMBL2113995	OSM-S-103	4-(1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl)-4-oxobutanamide	288.32	2.16	Arylpyrrole Series													Cc1cc(C(=O)CCC(=O)N)c(C)n1c2ccc(F)cc2
1386405	CHEMBL2113996	OSM-S-104	2-(1-(4-fluorophenyl)-5-methyl-1H-pyrazol-4-yl)oxazole-4-carboxylic acid	287.25	2.29	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							Cc1c(cnn1c2ccc(F)cc2)c3occ(n3)C(=O)O
1386406	CHEMBL2113997	OSM-S-105	2-(1-(4-fluorophenyl)-5-methyl-1H-pyrazol-4-yl)oxazole-4-carboxamide	286.26	1.66	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							Cc1c(cnn1c2ccc(F)cc2)c3occ(n3)C(=O)N
1386407	CHEMBL2113998	OSM-S-7	N-cyclohexyl-N-(cyclohexylcarbamoyl)-1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrole-3-carboxamide	439.57	6.11	Arylpyrrole Series	844788	CHEMBL2114000	IC50	=	7800	nM							Cc1cc(C(=O)N(C2CCCCC2)C(=O)NC3CCCCC3)c(C)n1c4ccc(F)cc4
1386408	CHEMBL2113999	OSM-S-8	N-(1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)-1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrole-3-carboxamide	418.46	3.08	Arylpyrrole Series													CN1N(C(=O)C(=C1C)NC(=O)c2cc(C)n(c2C)c3ccc(F)cc3)c4ccccc4
1386331	CHEMBL2113923	OSM-S-02	1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrole-3-carbaldehyde	217.24	2.96	Arylpyrrole Series							844792	CHEMBL2114004	Inhibition	=	25	%	Cc1cc(C=O)c(C)n1c2ccc(F)cc2
1386332	CHEMBL2113924	OSM-S-03	ethyl 1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrole-3-carboxylate	261.29	3.41	Arylpyrrole Series	844788	CHEMBL2114000	IC50	=	11960	nM	844792	CHEMBL2114004	Inhibition	=	25	%	CCOC(=O)c1cc(C)n(c1C)c2ccc(F)cc2
1386333	CHEMBL2113925	OSM-S-04	1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrole-3-carboxylic acid	233.24	2.83	Arylpyrrole Series							844792	CHEMBL2114004	Inhibition	=	20	%	Cc1cc(C(=O)O)c(C)n1c2ccc(F)cc2
539434	CHEMBL549220	OSM-S-05	TCMDC-123812	290.29	1.91	Arylpyrrole Series	844788	CHEMBL2114000	IC50	=	404	nM	844792	CHEMBL2114004	Inhibition	=	20	%	Cc1cc(C(=O)OCC(=O)N)c(C)n1c2ccc(F)cc2
532992	CHEMBL533269	OSM-S-06	TCMDC-123794	476.5	2.79	Arylpyrrole Series	844788	CHEMBL2114000	IC50	=	345	nM	844792	CHEMBL2114004	Inhibition	=	20	%	CN1N(C(=O)C(=C1C)NC(=O)COC(=O)c2cc(C)n(c2C)c3ccc(F)cc3)c4ccccc4
